(use LMB),(Left MB),(ЛКМ),(Botão esquerdo do Mouse)
enemy name: Voa,"Voa means ""Eye"" or ""Acie"" in the ancient Naz'aarian language. ","Воа - ""Глаз"" или ""Тень"" c древнего Наз'аарийского языка. ","Voa significa ""Olho"" ou ""Ácie"" na língua anciã Naz'aariana."
enemy name: Ruga,"Ruga means ""Cluster"" or ""Amalgam"" in the ancient Naz'aarian language.","Рюга означает ""Скопление"" или ""Амальгама"" на древнем Наз'аарийском языке.","Ruga significa ""Aglomeração"" ou ""Amálgame"" na língua anciã Naz'aariana."
enemy name: Coluna,"Coluna means ""Sorrow"" or ""Hurt"" in the ancient Naz'аarian language.","Колунна означает ""Печаль"" или ""Боль"" на древнем языке Наз'аариан.","Coluna significa ""Desespero"" ou ""Dor"" na língua anciã Naz'aariana."
enemy name: Momma,"Momma is the childish pronunciation of the ancient Naz'aarian word Mamat which means ""Parent"" or ""Ancestral"".","Мамма - это детское произношение древнего Наз'аарийского слова Маммат, которое означает ""Родитель"" или ""Древний Предок"".","Momma é a pronuncia infantil da palavra anciã Naz'aariana Mamat, que significa ""Genitore"" ou ""Ancestral"". "
enemy name: Douhta,"Dou'hta is the joining of two words from the ancient Naz'aarian language: Dour, which means ""Great"" or ""Beast"" and Hta, which means ""Child"" or ""Foul"". ","Ду'хта - это соединение двух слов из древнего Наз'аарийского языка: Ду, что означает ""Великий"" или ""Зверь"", и Хта, что означает ""Ребенок"" или ""Неистовый"". ","Dou'hta é a junção de duas palavras da língua anciã Naz'aariana: Dour, que significa ""Besta"" ou ""Grande"", e Hta, que significa ""Filhe"" ou ""Cria""."
enemy name: Komar,"Its name means ""impaler"" in the ancient Naz'aarian language. ","Это имя на древнем Наз'аарийском языке означает ""Убийца"". ","Seu nome significa ""Impaladore"" na língua anciã Naz'aariana."
enemy name: Shooka,"Its name means ""Sibling"" or ""Equal"" in the ancient Naz'aarian language. ","Имя этих нимф с древнего Наз'аарийского переводится как ""Равный"" или ""Кровный"". ","Seu nome significa ""Irmane"" ou ""Igual"" na língua anciã Naz'aariana."
enemy tactic: Shooka,"Do not underestimate these nymphs, even having greater mental and intellectual power, these entities are not intimidated and will not hesitate to attack when necessary, jumping to their opponent and tearing what they find in front of them. Watch for signs of attack and banish when it's safe to approach.","Не стоит недооценивать этих нимф, даже обладая большей интеллектуальной силой, они не испугаются и без колебаний атакуют, когда это необходимо, прыгая на своего противника и разрывая его плоть. Такая атака требует подготовки, так что в нужный момент уворачивайся.","Não subestime essas ninfas, mesmo tendo maior poder mental e intelectual, essas entidades não são intimidadas e não hesitarão em atacar quando necessário, pulando em seu oponente e rasgando o que encontrarem em sua frente. Aguarde por sinais de ataque e bana quando for seguro aproximar-se."
enemy tactic: Bohra,"Because it is unstable, content released by Bohra can be bounced back to deal damage.","Материя, которую выпускает Бохра, нестабильна, поэтому ее можно оттолкнуть обратно.","Por ser instável, conteúdo liberado por Bohra pode ser refletido de volta para causar dano."
enemy tactiс: Voa,"These nymphs are very fragile, but they fly very high, try to jump as high as they fly and eliminate them with a straight attack.",Эти нимфы очень хрупки но летают высоко. Пробуй допргынуть до них и уничтожить атакой в воздухе.,"Essas ninfas são muito frágeis, mas voam muito alto. Tente pular tão alto quanto elas voam para elimina-las com um ataque direto."
enemy tactic: Ruga,"The only way to banish a Ruga is by destroying the cluster of hearts, as the entity does not receive definitive damage from any sources rather than magic due to the pact of the nymphs that form it. Jumping on the mask that serves them as an anchor to the physical world also seems to be a way to make them expose their weakness.","Единственный способ изгнать Рюгу - уничтожить полутень сердец, поскольку иначе она не получает урона от каких-либо источников, кроме магии, благодаря договору нимф, формиующих сердце. Прыжок на маску кажется способом заставить их обнажить свою слабость.","A única forma de banir Ruga é destruindo o aglomerado de corações, pois a entidade não sofre dano definitivo de outras fontes além da mágica devido ao pacto das ninfas. Na verdade, pular na máscara que serve de âncora para o mundo físico também parece ser uma forma de fazer com que o ponto fraco se revele."
enemy tactic: Coluna,"Destroying Coluna's anchors releases its immense fury, but it's also the only way to banish the entity, be careful when moving too close.","Уничтожение щитов Колунны высвобождает ее свирепую ярость, но это единственный способ изгнать нимфу, будь осторожен, когда подходишь слишком близко.","Destruir as âncoras de Coluna libera sua fúria imensa, mas também é a unica forma de banir a entidade, tenha cuidado ao se mover muito perto."
enemy tactic: Momma,It is important to attack and destroy Momma before the nymph releases its foal spore and retreats to the ground.,"Важно атаковать и уничтожить мамма до того, как нимфа выпустит спору и уйдет в землю.",É importante atacar e destruir Momma antes que a ninfa libere seu esporo de cria e recue para o solo.
enemy tactic: Douhta,"Keep attacking the entity whenever you feel safe enough to do so, it may take a while due to its size and strength, but never get distracted, always keep your eye on the orb above the beast's body, back away if it moves too much.","Атакуй существо, когда почувствуешь это безопасным. Ожидание может занять некоторое время из-за ее размеров и силы, но никогда не отвлекайся, следи за сферой над телом чудовища, отступай, если она слишком близко.","Continue atacando a entidade quando sentir-se seguro o suficiente para faze-lo. Pode demorar um pouco devido a seu tamanho e força, mas nunca se distraia, sempre mantenha seus olhos no orbe sobre o corpo da besta, recue se aquilo se mover demais."
enemy tactic: Komar,"Komar always prepares before deferring the impaling attack that gives it its name, always pay attention to the posture of this nymph, try to interfere in the preparation by pushing them, or get out of the way and avoid the attack.","Комар всегда готовится, прежде чем напасть. Всегда обращай на это внимание и постарайся вмешаться в подготовку, толкнув ее. Или увернись от атаки рывком назад.","Komar sempre se prepara antes de executar o ataque impalador que lhe dá nome. Sempre preste atenção na postura dessa ninfa, tente interferir na preparação por meio do empurrão, ou saia do meio do caminho para evitar o ataque."
enemy about: Bohra,"Bohra are the nocturnal nymphs who take over the structures and ruins of the ancient empire. These spirit creatures, when fused with earthly matter are very unstable and voracious, they usually consume huge amounts of whatever material they encounter in order to remain stable and then expel the excess from their own bodies through a voracious mouth adapted to the new stolen body. ","Бохра - это ночные нимфы, поглотившие строения и руины древней империи. Эти духи, очень неустойчивы и прожорливы после соединения с земной материей. Они потребляют огромное количество любого материала, с которым сталкиваются, чтобы оставаться стабильными, а затем выплескивают излишки из собственного тела через огромный рот, приспособленный к украденному телу. ","Bohra são as ninfas noturnas que tomam controle de estruturas e ruinas do imperio antigo. Essas criaturas espirituais, quando fundidas com matéria terrena, são muito instáveis e ferozes. Elas normalmente consumem grandes quantidades de qualquer material que encontratem para se manterem estáveis, e então expelem o excesso de seus corpos através de uma boca feroz adaptada ao novo corpo roubado."
enemy about: Voa,"Voa are spy night nymphs that silently fly above the heads of their opponents, practically imperceptible. These nymphs can appear in the desired location and use their perfect vision to acquire valuable information and pass this information to Night, besides being able to eliminate unnoticed enemies shooting on them from above.","Воа - ночные шпионы, которые незаметно летают над головами своих целей. Эти нимфы могут появиться где угодно, чтобы своим идеальным зрением получить ценную информацию для Ночи, а заодно устранить врагов своим выстрелом с воздуха.","Voas são ninfas noturnas espiãs que voam silenciosamente acima das cabeças de seus oponentes, praticamente imperceptíveis. Essas ninfas podem aparecer na localidade desejada e usar sua visão perfeita para adiquirir informações valiosas e passa-las para Noite, além de serem capaz de eleminar inimigos distraidos atirando neles de cima. "
enemy about: Ruga,"Ruga is a legion of nymphs inhabiting a single anchor, forming the being. Each of the nymphs gives a piece of their essence to form the heart of Ruga, which is always hidden behind a penumbre created by the beast to protect its weak point.","Рюга - это легион нимф, вселившихся в существо, чтобы стать одни целым. Каждая из нимф отдает частицу своей сущности для формирования сердца Рюги. Сердце всегда скрыто полутенью, созданной зверем, чтобы защитить свое слабое место.","Ruga é uma legião de ninfas habitando uma única âncora, formando, dessa forma, o ser. Cada ninfa dá um pedaço de sua essência para formar o coração de Ruga, que está sempre escondido atrás de uma penumbra criada pela besta para proteger seu ponto fraco."
enemy about: Coluna,"Coluna is an extremely chaotic and powerful nymph with no control over its destructive abilities, having to self contain in a ring of anchors that surround it. ","Колунна - чрезвычайно хаотичная и могущественная нимфа, не способная контролировать свои разрушительные способности и вынужденная сдерживать себя в кольце щитов, окружающих ее. ","Coluna é uma ninfa extremamente caótica e poderosa sem controle sobre suas habilidades destrutivas, tendo que se conter no anel de âncoras que a rodeia."
enemy about: Momma,"Momma are nymphs who have buried themselves in the ground to wreak havoc from the inside out of enemy territory. These nymphs are extremely fragile, but should not be underestimated, as their role is to infiltrate and give birth to an extremely destructive beast. ","Мамма - это нимфы, погребенные в землю, чтобы сеять хаос изнутри. Эти нимфы чрезвычайно хрупки, но их нельзя недооценивать, так как их роль заключается в том, чтобы проникнуть к врагам и породить крайне разрушительного зверя. ","Momma são ninfas que se enterraram no chão para causar estragos de dentro para fora do território inimigo. Essas ninfas são extremamente frágeis, mas não devem ser subestimadas, já que seu papel é se infiltrar e dar luz a uma besta extremamente destrutiva."
enemy about: Douhta,"Dou'hta is Momma's spawn, an overgrown amalgam nymph whose only objective seems to be to move forward and wreak havoc. This is the biggest nymph of all, but does not have proportional intelligence, however extreme caution is needed when intercepting them, as it was made only to destroy and seems to fulfill this role very well.","Ду'хта - отродье мамма, нимфа-переросток из амальгамы, слепо идущая вперед, уничтожая все на своем пути. Это самая крупная нимфа из всех, но она не обладает пропорциональным интеллектом. Однако при борьбе с ними нужно быть предельно осторожным: она была создана только для разрушения и, похоже, отлично справляется с этой ролью.","Dou'hta é a cria de Momma, uma ninfa amalgama enorme cujo unico objetivo parece ser o de marchar em frente e causar destruição. Essa é a maior de todas as ninfas, mas não tem inteligência proporcional. Tenha cuidado de qualquer forma ao intercepta-la, pois foi feita somente para destruir e parece cumprir este papel muito bem."
enemy about: Komar,"Komar are extremely numerous nymphs and live together, possessing a hive mind.","Комар - очень многочисленные нимфы, живущие вместе разделяя ульевый разум.",Komar são ninfas extremamente numerosas que vivem juntas possuindo uma mente de colméia.
enemy about: Shooka,"These nymphs are probably the most common type of night nymph and make up the majority of Night's army, are extremely intelligent and usually orchestrate most attacks.","Эти нимфы, вероятно, самый распространенный тип ночных нимф и составляют большую часть армии Ночи, они чрезвычайно умны и обычно организуют большинство атак.",Essas ninfas são provavelmente as mais comuns e caracterizam a maioria do exército de Noite. São extremamente inteligentes e frequentemente orquestram a maioria dos ataques.
